Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US12031,12031,"Duval County, Florida",866431,*****
0500000US12033,12033,"Escambia County, Florida",298864,*****
0500000US12035,12035,"Flagler County, Florida",95987,*****
0500000US12037,12037,"Franklin County, Florida",11545,*****
0500000US12039,12039,"Gadsden County, Florida",46823,*****
0500000US12041,12041,"Gilchrist County, Florida",16880,*****
0500000US12043,12043,"Glades County, Florida",12952,*****
0500000US12045,12045,"Gulf County, Florida",15796,*****
0500000US12047,12047,"Hamilton County, Florida",14728,*****
0500000US12049,12049,"Hardee County, Florida",27347,*****
0500000US12051,12051,"Hendry County, Florida",38669,*****
0500000US12053,12053,"Hernando County, Florida",172784,*****
0500000US12055,12055,"Highlands County, Florida",98734,*****
0500000US12057,12057,"Hillsborough County, Florida",1238365,*****
0500000US12059,12059,"Holmes County, Florida",19971,*****
0500000US12061,12061,"Indian River County, Florida",138203,*****
0500000US12063,12063,"Jackson County, Florida",49589,*****
0500000US12065,12065,"Jefferson County, Florida",14564,*****
0500000US12067,12067,"Lafayette County, Florida",8668,*****
0500000US12069,12069,"Lake County, Florida",297995,*****
0500000US12071,12071,"Lee County, Florida",624155,*****
0500000US12073,12073,"Leon County, Florida",276506,*****
0500000US12075,12075,"Levy County, Florida",40541,*****
0500000US12077,12077,"Liberty County, Florida",8300,*****
0500000US12079,12079,"Madison County, Florida",19187,*****
0500000US12081,12081,"Manatee County, Florida",324834,*****
0500000US12083,12083,"Marion County, Florida",331987,*****
0500000US12085,12085,"Martin County, Florida",146497,*****
0500000US12086,12086,"Miami-Dade County, Florida",2512219,*****
0500000US12087,12087,"Monroe County, Florida",73475,*****
0500000US12089,12089,"Nassau County, Florida",73303,*****
0500000US12091,12091,"Okaloosa County, Florida",183400,*****
0500000US12093,12093,"Okeechobee County, Florida",39779,*****
0500000US12095,12095,"Orange County, Florida",1153795,*****
0500000US12097,12097,"Osceola County, Florida",272355,*****
0500000US12099,12099,"Palm Beach County, Florida",1324085,*****
0500000US12101,12101,"Pasco County, Florida",465276,*****
0500000US12103,12103,"Pinellas County, Florida",917389,*****
0500000US12105,12105,"Polk County, Florida",604562,*****
0500000US12107,12107,"Putnam County, Florida",74224,*****
0500000US12109,12109,"St. Johns County, Florida",191495,*****
0500000US12111,12111,"St. Lucie County, Florida",278246,*****
0500000US12113,12113,"Santa Rosa County, Florida",153086,*****
0500000US12115,12115,"Sarasota County, Florida",380479,*****
0500000US12117,12117,"Seminole County, Florida",423389,*****
0500000US12119,12119,"Sumter County, Florida",94240,*****
0500000US12121,12121,"Suwannee County, Florida",42287,*****
0500000US12123,12123,"Taylor County, Florida",22561,*****
0500000US12125,12125,"Union County, Florida",15400,*****
0500000US12127,12127,"Volusia County, Florida",495581,*****
0500000US12129,12129,"Wakulla County, Florida",30449,*****
0500000US12131,12131,"Walton County, Florida",55349,*****
0500000US12133,12133,"Washington County, Florida",24732,*****
0500000US13001,13001,"Appling County, Georgia",18279,*****
0500000US13003,13003,"Atkinson County, Georgia",8355,*****
0500000US13005,13005,"Bacon County, Georgia",11124,*****
0500000US13007,13007,"Baker County, Georgia",3483,*****
0500000US13009,13009,"Baldwin County, Georgia",46378,*****
0500000US13011,13011,"Banks County, Georgia",18250,*****
0500000US13013,13013,"Barrow County, Georgia",69136,*****
0500000US13015,13015,"Bartow County, Georgia",99872,*****
0500000US13017,13017,"Ben Hill County, Georgia",17612,*****
0500000US13019,13019,"Berrien County, Georgia",19131,*****
0500000US13021,13021,"Bibb County, Georgia",155560,*****
0500000US13023,13023,"Bleckley County, Georgia",13009,*****
0500000US13025,13025,"Brantley County, Georgia",18279,*****
0500000US13027,13027,"Brooks County, Georgia",16066,*****
0500000US13029,13029,"Bryan County, Georgia",30616,*****
0500000US13031,13031,"Bulloch County, Georgia",70360,*****
0500000US13033,13033,"Burke County, Georgia",23242,*****
0500000US13035,13035,"Butts County, Georgia",23671,*****
0500000US13037,13037,"Calhoun County, Georgia",6581,*****
0500000US13039,13039,"Camden County, Georgia",50435,*****
0500000US13043,13043,"Candler County, Georgia",11007,*****
0500000US13045,13045,"Carroll County, Georgia",110750,*****
0500000US13047,13047,"Catoosa County, Georgia",64226,*****
0500000US13049,13049,"Charlton County, Georgia",12954,*****
0500000US13051,13051,"Chatham County, Georgia",266344,*****
0500000US13053,13053,"Chattahoochee County, Georgia",11917,*****
0500000US13055,13055,"Chattooga County, Georgia",25905,*****
0500000US13057,13057,"Cherokee County, Georgia",215014,*****
0500000US13059,13059,"Clarke County, Georgia",117762,*****
0500000US13061,13061,"Clay County, Georgia",3174,*****
0500000US13063,13063,"Clayton County, Georgia",262066,*****
0500000US13065,13065,"Clinch County, Georgia",6800,*****
0500000US13067,13067,"Cobb County, Georgia",691820,*****
0500000US13069,13069,"Coffee County, Georgia",42566,*****
0500000US13071,13071,"Colquitt County, Georgia",45531,*****
0500000US13073,13073,"Columbia County, Georgia",124665,*****
0500000US13075,13075,"Cook County, Georgia",17073,*****
0500000US13077,13077,"Coweta County, Georgia",127212,*****
0500000US13079,13079,"Crawford County, Georgia",12701,*****
0500000US13081,13081,"Crisp County, Georgia",23460,*****
0500000US13083,13083,"Dade County, Georgia",16598,*****
0500000US13085,13085,"Dawson County, Georgia",22246,*****
0500000US13087,13087,"Decatur County, Georgia",27815,*****
0500000US13089,13089,"DeKalb County, Georgia",694671,*****
0500000US13091,13091,"Dodge County, Georgia",21509,*****
0500000US13093,13093,"Dooly County, Georgia",14528,*****
0500000US13095,13095,"Dougherty County, Georgia",94591,*****
0500000US13097,13097,"Douglas County, Georgia",132124,*****
0500000US13099,13099,"Early County, Georgia",10928,*****
0500000US13101,13101,"Echols County, Georgia",4024,*****
0500000US13103,13103,"Effingham County, Georgia",52203,*****
0500000US13105,13105,"Elbert County, Georgia",20103,*****
0500000US13107,13107,"Emanuel County, Georgia",22600,*****
0500000US13109,13109,"Evans County, Georgia",10935,*****
0500000US13111,13111,"Fannin County, Georgia",23554,*****
0500000US13113,13113,"Fayette County, Georgia",106525,*****
0500000US13115,13115,"Floyd County, Georgia",96204,*****
0500000US13117,13117,"Forsyth County, Georgia",177103,*****
0500000US13119,13119,"Franklin County, Georgia",22070,*****
0500000US13121,13121,"Fulton County, Georgia",929535,*****
0500000US13123,13123,"Gilmer County, Georgia",28232,*****
0500000US13125,13125,"Glascock County, Georgia",3082,*****
0500000US13127,13127,"Glynn County, Georgia",79628,*****
0500000US13129,13129,"Gordon County, Georgia",55192,*****
0500000US13131,13131,"Grady County, Georgia",25068,*****
0500000US13133,13133,"Greene County, Georgia",15988,*****
0500000US13135,13135,"Gwinnett County, Georgia",810624,*****
0500000US13137,13137,"Habersham County, Georgia",43038,*****
0500000US13139,13139,"Hall County, Georgia",180831,*****
0500000US13141,13141,"Hancock County, Georgia",9422,*****
0500000US13143,13143,"Haralson County, Georgia",28627,*****
0500000US13145,13145,"Harris County, Georgia",31870,*****
0500000US13147,13147,"Hart County, Georgia",25277,*****
0500000US13149,13149,"Heard County, Georgia",11756,*****
0500000US13151,13151,"Henry County, Georgia",203185,*****
0500000US13153,13153,"Houston County, Georgia",140699,*****
0500000US13155,13155,"Irwin County, Georgia",9646,*****
0500000US13157,13157,"Jackson County, Georgia",60268,*****
0500000US13159,13159,"Jasper County, Georgia",13786,*****
0500000US13161,13161,"Jeff Davis County, Georgia",14972,*****
0500000US13163,13163,"Jefferson County, Georgia",16817,*****
0500000US13165,13165,"Jenkins County, Georgia",8477,*****
0500000US13167,13167,"Johnson County, Georgia",9981,*****
0500000US13169,13169,"Jones County, Georgia",28638,*****
0500000US13171,13171,"Lamar County, Georgia",18151,*****
0500000US13173,13173,"Lanier County, Georgia",10066,*****
0500000US13175,13175,"Laurens County, Georgia",48264,*****
0500000US13177,13177,"Lee County, Georgia",28449,*****
0500000US13179,13179,"Liberty County, Georgia",64663,*****
0500000US13181,13181,"Lincoln County, Georgia",7962,*****
0500000US13183,13183,"Long County, Georgia",14488,*****
0500000US13185,13185,"Lowndes County, Georgia",109730,*****
0500000US13187,13187,"Lumpkin County, Georgia",30040,*****
0500000US13189,13189,"McDuffie County, Georgia",21762,*****
0500000US13191,13191,"McIntosh County, Georgia",14119,*****
0500000US13193,13193,"Macon County, Georgia",14552,*****
0500000US13195,13195,"Madison County, Georgia",27988,*****
0500000US13197,13197,"Marion County, Georgia",8615,*****
0500000US13199,13199,"Meriwether County, Georgia",21966,*****
0500000US13201,13201,"Miller County, Georgia",6094,*****
0500000US13205,13205,"Mitchell County, Georgia",23510,*****
0500000US13207,13207,"Monroe County, Georgia",26376,*****
0500000US13209,13209,"Montgomery County, Georgia",9054,*****
0500000US13211,13211,"Morgan County, Georgia",17919,*****
0500000US13213,13213,"Murray County, Georgia",39635,*****
0500000US13215,13215,"Muscogee County, Georgia",191278,*****
0500000US13217,13217,"Newton County, Georgia",100047,*****
0500000US13219,13219,"Oconee County, Georgia",32814,*****
0500000US13221,13221,"Oglethorpe County, Georgia",14745,*****
